iter	RMSE
0	1.313006029
1	1.303196437
2	1.294461711
3	1.28665211
4	1.278894908
5	1.272648
6	1.266780522
7	1.261382933
8	1.256473151
9	1.252914815
10	1.249150351
11	1.245182474
12	1.241926551
13	1.238790748
14	1.235197152
15	1.231523418
16	1.227555796
17	1.224869465
18	1.222102437
19	1.218992243
20	1.216761295
21	1.213996656
22	1.211681189
23	1.209503579
24	1.207729009
25	1.206708501
26	1.205465663
27	1.20354364
28	1.201663702
29	1.200687248
30	1.198866788
31	1.197734932
32	1.196304885
33	1.195270395
34	1.19378853
35	1.192555812
36	1.191827072
37	1.191035294
38	1.190486004
39	1.189326704
40	1.188521228
41	1.187457043
42	1.186376721
43	1.185437259
44	1.184795192
45	1.184192157
46	1.183397869
47	1.18277622
48	1.181731929
49	1.181082479
50	1.180699313
51	1.17932477
52	1.17852638
53	1.177776164
54	1.177055654
55	1.176478858
56	1.175766039
57	1.175399838
58	1.174776651
59	1.174079838
60	1.173592756
61	1.172898558
62	1.172437772
63	1.172126398
64	1.171670265
65	1.171133818
66	1.170542397
67	1.170278687
68	1.169570126
69	1.168960947
70	1.16793602
71	1.167227918
72	1.166944333
73	1.166143101
74	1.165669544
75	1.165010353
76	1.164505385
77	1.163941109
78	1.163096966
79	1.162627289
80	1.161991649
81	1.161391966
82	1.160801397
83	1.160331524
84	1.159735412
85	1.159239612
86	1.158834817
87	1.1585231
88	1.158064711
89	1.157306605
90	1.157020371
91	1.156554372
92	1.15606538
93	1.155635445
94	1.155186318
95	1.154615071
96	1.154216815
97	1.153682964
98	1.153442589
99	1.153072652
100	1.152730258
101	1.152225473
102	1.151935476
103	1.151553678
104	1.151172017
105	1.15058647
106	1.150246889
107	1.149566043
108	1.149273723
109	1.148938514
110	1.148563318
111	1.148314942
112	1.14797714
113	1.147116695
114	1.146622253
115	1.146320052
116	1.145949669
117	1.145549848
118	1.145197585
119	1.144922281
120	1.144512349
121	1.143959731
122	1.14363681
123	1.143139367
124	1.142837566
125	1.142448181
126	1.141977455
127	1.141447004
128	1.14115046
129	1.140891215
130	1.140530339
131	1.140243814
132	1.139873863
133	1.139588374
134	1.139309776
135	1.138636871
136	1.138221459
137	1.137860815
138	1.137328908
139	1.137035659
140	1.136680893
141	1.136205462
142	1.135912578
143	1.135589077
144	1.13527787
145	1.134700822
146	1.134284326
147	1.1339078
148	1.133467672
149	1.133082805
150	1.132790412
151	1.132267253
152	1.131955453
153	1.13115207
154	1.130777269
155	1.130406489
156	1.129780592
157	1.129324629
158	1.12896329
159	1.128604178
160	1.127862807
161	1.127472182
162	1.127317506
163	1.12695072
164	1.12648644
165	1.126314694
166	1.125780096
167	1.12546691
168	1.125217779
169	1.124571337
170	1.124035204
171	1.123497142
172	1.123190411
173	1.12267146
174	1.122301753
175	1.122009504
176	1.121511746
177	1.121159809
178	1.120703645
179	1.120251614
180	1.119772726
181	1.119433664
182	1.118972954
183	1.118580616
184	1.11816532
185	1.117806167
186	1.117317438
187	1.116803242
188	1.116458308
189	1.116026794
190	1.11569909
191	1.115296641
192	1.11507834
