iter	Passed	Remaining
0	4	4129
1	7	3674
2	33	11053
3	50	12515
4	54	10938
5	61	10211
6	68	9788
7	73	9162
8	79	8726
9	83	8292
10	87	7836
11	93	7662
12	102	7788
13	107	7565
14	112	7387
15	121	7454
16	125	7248
17	132	7213
18	141	7316
19	148	7280
20	157	7352
21	162	7240
22	166	7088
23	174	7094
24	182	7106
25	186	6984
26	191	6913
27	196	6829
28	200	6702
29	203	6587
30	207	6495
31	212	6434
32	216	6350
33	220	6277
34	225	6216
35	229	6134
36	233	6067
37	237	6002
38	247	6100
39	251	6045
40	256	5997
41	260	5949
42	264	5889
43	269	5851
44	273	5804
45	278	5773
46	282	5728
47	286	5681
48	290	5644
49	296	5624
50	304	5658
51	311	5681
52	317	5671
53	322	5643
54	327	5632
55	333	5629
56	339	5610
57	344	5598
58	349	5576
59	355	5576
60	360	5543
61	363	5504
62	367	5469
63	372	5452
64	377	5428
65	382	5411
66	387	5394
67	392	5376
68	398	5375
69	409	5443
70	414	5420
71	419	5407
72	425	5398
73	430	5389
74	438	5404
75	444	5399
76	449	5390
77	459	5433
78	464	5419
79	469	5404
80	475	5397
81	480	5377
82	484	5357
83	495	5405
84	500	5389
85	508	5401
86	513	5384
87	518	5369
88	523	5362
89	528	5345
90	532	5322
91	539	5322
92	544	5308
93	548	5291
94	554	5278
95	561	5286
96	566	5270
97	573	5281
98	579	5272
99	584	5259
100	589	5243
101	594	5232
102	599	5218
103	607	5231
104	613	5225
105	618	5212
106	622	5195
107	626	5177
108	631	5162
109	638	5162
110	643	5156
111	648	5141
112	653	5132
113	658	5117
114	662	5101
115	667	5087
116	671	5070
117	676	5060
118	681	5042
119	685	5028
120	691	5026
121	696	5012
122	700	4995
123	705	4980
124	709	4965
125	713	4950
126	718	4935
127	722	4920
128	726	4904
129	730	4889
130	735	4877
131	739	4864
132	744	4851
133	748	4836
134	753	4829
135	758	4816
136	762	4801
137	767	4793
138	771	4781
139	776	4770
140	784	4779
141	788	4765
142	793	4754
143	797	4742
144	802	4731
145	806	4718
146	810	4705
147	816	4697
148	820	4686
149	824	4674
150	828	4659
151	833	4647
152	837	4633
153	842	4626
154	846	4615
155	851	4605
156	855	4594
157	859	4582
158	864	4573
159	869	4562
160	873	4553
161	878	4542
162	882	4531
163	886	4519
164	890	4508
165	895	4497
166	901	4497
167	906	4488
168	910	4477
169	917	4477
170	921	4469
171	926	4461
172	933	4462
173	938	4457
174	943	4449
175	948	4442
176	954	4435
177	958	4424
178	962	4416
179	968	4410
180	973	4403
181	977	4392
182	982	4385
183	986	4376
184	991	4366
185	996	4359
186	1004	4365
187	1009	4361
188	1016	4361
189	1020	4352
190	1025	4342
191	1030	4336
192	1035	4328
193	1039	4319
194	1043	4309
195	1048	4300
196	1052	4291
197	1057	4283
198	1061	4274
199	1066	4266
200	1070	4256
201	1074	4246
202	1078	4235
203	1083	4225
204	1088	4220
205	1093	4215
206	1099	4210
207	1103	4201
208	1108	4193
209	1112	4184
210	1117	4177
211	1121	4167
212	1125	4159
213	1130	4150
214	1134	4140
215	1138	4134
216	1145	4134
217	1152	4132
218	1156	4124
219	1163	4124
220	1168	4120
221	1174	4117
222	1181	4116
223	1186	4110
224	1191	4103
225	1196	4098
226	1202	4093
227	1206	4086
228	1212	4081
229	1223	4097
230	1230	4097
231	1235	4090
232	1242	4089
233	1247	4084
234	1259	4100
235	1267	4104
236	1275	4106
