respnum,intdate,gendr,q1,q2a,q2b,q3a,q3b,q3c,q3d,q3e,q3f,q3g,q4a,q4b,q4c,q4d,q4e,q5a,q5b,q5c,q5d,q5e,q5f,q6,q6a,q8a,q8b,q91,q92,q93,q94,q98,q99,q910,q911,q911a,q912,q10,q11a,q11b,q12,q131,q132,q133,q134,q138,q139,q1310,q13a0,q1311,q1312,q13a2,q14,q15,q16a,q16b,q16c,q17,q181,q182,q183,q184,q189,q1810,q1811,q1814,q1815,q19,q201,q202,q203,q204,q209,q2010,q2011,q2014,q2015,q2016,q21,q221,q222,q223,q224,q229,q2210,q2211,q2214,q2215,q2216,q23,q23aa,q23ab,q23a,q23b,q23c,q23d,q23ea,q23eb,q23ec,q23ed,q23ee,q23ef,q23e,q23e1,q23f,q23f1,q23fg,q23h,q24,q25b,q26,q28,q28y,q28m,q30a,q31,q32,q33,q34,q35,q37,wt,filter_$
21000001,20021001,1,14,10, ,4,6,0,0,0,0,0,4,2,4,0,0,4,0,3,3,0,0,10,10, , , , , , , , , , , , ,2,21,19,10,7,8,9,5,8,6,7, ,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1,9,10,10,10,10,8,8,10,10,10, ,2, ,2, , ,95,3,1,3,1,10, ,5,5,2,4,4,1,1,1.05224452944182,1
21000014,20021001,2,2,4, ,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,10,10, , , , , , , , , , , , ,2,29,4,10,10,8,10,10,10,10,10, ,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,8,8,10,8,9,10,5,5,10, ,2, ,2, , ,1,2,1,3,2, ,5,5,5,1,3,4,3,5,.55794390481619,1
21000016,20021001,1,9,0,2,0,0,0,0,0,0,.108166576527853,0,.108166576527853,0,0,0,0,0,0,0,.108166576527853,0,9,5,2,10,10,10,10,10,10,10,10,10, ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1,6,8,97,9,5,8,5,10,10,10, ,2, ,1,9, ,1,1,2,1,2, ,1,4,5,1,5,6,5,3,.397585784491025,0
21000041,20021001,2,15,8, ,8,0,0,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2, , ,8,8,10,8,5,5,8,8,8,5, , , , , , , , , , , , , , , , , , , , , , ,5,2, ,5,97,10,5,8,10,10,10,10, ,2, ,1,8, ,95,1,1,3,1,10, ,95,4,4,3,2,5,9,1.11511324198258,1
21000046,20021001,1,9,5, ,5,0,0,0,0,0,0,2,0,2,0,1,4,0,1,0,0,0,8,9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,210, , ,9,7,10,10,8,8,7,10,7,8, , , , , , , , , , , , , , , , , , , , , , ,4,2, ,7,7,7,6,8,6,10,6,9, ,2, ,1,7, ,2,2,1,1,2, ,6,5,6,5,3,1,5,98,.572112999874763,0
21000085,20021001,2,15,2, ,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5,9, , , , , , , , , , , , ,2,7,11,10,97,6,6,10,10,8,7, ,97,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2, ,9,9,97,5,5,9,10,10,10, ,1,8,2, , ,1,2,1,3,1,20, ,5,4,1,6,6,2,98,1.30496875774186,1
21000147,20021001,1,7,4, ,0,4,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,5,3, , , , , , , , , , , , ,3,11,15,7,97,8,8,9,6,97,2,2,10,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,1,2,2,97,5,7,10,10,8, ,2, ,2, , ,1,1,1,1,2, ,4,4,3,1,2,1,3,4,1.30376289531601,1
21000174,20021001,2,15,2, ,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,7,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,4, , ,8,9,8,8,5,5,8,7,4,6, , , , , , , , , , , , , , , , , , , , , , ,4,2, ,4,4,4,8,8,9,8,9,8, ,2, ,1,8, ,4,1,1,1,1,3, ,4,3,1,2,3,5,1,1.30856716553541,1
21000205,20021001,2,12,10, ,10,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,7,6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,491,407, ,8,9,10,9,9,8,10,10,10,8, , , , , , , , , , , , , , , , , , , , , , ,5,1,8,7,5,7,4,9,7,9,6,10, ,2, ,1,7, ,2,2,2,1,2, ,5,5,4,5,1,3,4,97,.844761346937682,0
21000299,20021001,1,15,12, ,12,0,0,0,0,0,0,3,3,3,3,0,12,0,0,0,0,0,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,98, , ,7,8,9,9,8,8,8,9,9,9, , , , , , , , , , , , , , , , , , , , , , ,4,2, ,8,7,8,7,7,8,8,7,9, ,1,9,1,7, ,2,2,1,3,1,6, ,5,4,3,2,1,5,4,1.67642018034218,0
21000307,20021001,2,15,0,20,.973499188750676,.108166576527853,0,0,0,0,0,.540832882639265,0,.540832882639265,0,0,1.08166576527853,0,0,0,0,0,9,8, , , , , , , , , , , , ,3,4,6,8,97,10,10,8,10,10,97, ,97,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,1,10,7,1,9,8,9,8,10,6,9, ,2, ,2, , ,2,1,2,1,2, ,4,2,5,2,4,1,5,6,1.11511324198258,0
21000315,20021001,2,1,2, ,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,7,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,135, , ,7,8,8,7,10,97,9,6,8,4, , , , , , , , , , , , , , , , , , , , , , ,8,1,8,4,5,6,5,8,8,9,7,9, ,2, ,2, , ,1,2,1,3,1,12, ,4,5,4,1,1,3,5,1.72066710758586,0
21000391,20021001,2,15,6, ,4,0,0,2,0,0,0,0,2,0,0,4,0,0,2,0,4,0,9,9, , , , , , , , , , , , ,5,11,3,8,8,8,9,8,8,9,5,2,7,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1,9,6,7,8,6,9,9,9,10,9, ,1,9,2, , ,4,2,2,3,1,45, ,4,5,1,4,6,2,4,1.11511324198258,1
21000395,20021001,2,15,1, ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,4, , ,10,10,10,8,10,97,8,10,10,97, , , , , , , , , , , , , , , , , , , , , , ,8,2, ,8,97,10,10,10,8,10,8,10, ,2, ,2, , ,1,1,2,3,1,10, ,4,5,3,3,1,2,2,1.11511324198258,0
21000548,20021001,1,9,0,5,0,.270416441319632,0,0,0,0,0,0,.270416441319632,0,0,0,.270416441319632,0,0,0,0,0,8,8, , , , , , , , , , , , ,2,13,29,9,8,8,8,9,9,8,8, ,8,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,2, ,6,6,7,5,7,7,9,5,9, ,2, ,2, , ,1,1,1,3,1,10, ,4,5,3,4,1,5,9,.572112999874763,1
21000649,20021001,2,2,6, ,0,6,0,0,0,0,0,2,4,0,0,0,2,0,4,0,0,0,10,9, , , , , , , , , , , , ,5,11,3,10,9,9,9,9,10,9,9, ,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,2, ,8,9,9,8,9,8,9,9,9, ,1,10,1,10, ,1,1,1,1,3, , ,4,5,2,3,1,4,5,.55794390481619,0
21001297,20021001,1,9,2, ,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,4,6,3,10,10,10,7,9,10,10,10,10, ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,98, ,4,7,3,98,5,8,10,8,8, ,2, ,1,7, ,1,2,1,3,3, , ,4,3,3,2,1,3,9,.741122528278133,1
21000373,20021002,1,15,19, ,10,2,0,7,0,0,0,5,8,5,1,0,12,0,1,3,3,0,8,6, , , , , , , , , , , , ,2,1,2,9,9,8,7,10,9,6,7, ,7,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,3,5,8,4,6,8,7,5,8, ,2, ,1,8, ,2,1,2,3,1,6, ,5,5,2,4,1,5,9,1.5123709334204,0
21000463,20021002,1,7,2, ,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,8,8, , , , , , , , , , , , ,2,15,3,10,97,8,8,8,10,7,10, ,97,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,2, ,8,8,8,7,10,10,10,8,10, ,2, ,2, , ,1,2,1,3,3, , ,3,4,1,3,2,2,3,1.36118995391388,1
